account_product_id,account_id,products_id,amount
1,32,640,932
2,39,244,753
3,10,204,849
4,16,510,268
5,4,194,705
6,46,70,88
7,24,622,135
8,9,687,409
9,12,342,846
10,20,577,379
11,28,628,758
12,11,597,241
13,11,513,551
14,9,342,313
15,7,269,783
16,45,644,973
17,12,200,982
18,42,423,916
19,31,556,316
20,8,221,136
21,28,270,278
22,45,214,284
23,11,668,280
24,3,308,360
25,24,690,800
26,48,139,53
27,47,188,777
28,13,681,885
29,15,273,264
30,48,301,101
31,34,393,528
32,19,577,776
33,14,100,904
34,40,43,914
35,12,48,230
36,40,80,963
37,6,159,365
38,8,532,778
39,1,46,524
40,44,676,525
41,48,608,233
42,19,188,342
43,36,576,347
44,6,332,564
45,36,288,478
46,41,296,88
47,27,170,17
48,21,142,966
49,3,335,262
50,37,472,961
51,9,403,491
52,12,567,491
53,8,215,382
54,2,434,637
55,26,197,572
56,3,394,771
57,32,422,84
58,34,264,926
59,37,181,560
60,27,151,569
61,11,326,218
62,41,687,573
63,33,446,229
64,8,223,740
65,33,599,201
66,8,414,792
67,15,656,465
68,42,111,628
69,35,639,219
70,15,502,10
71,24,187,40
72,5,217,42
73,16,656,401
74,7,105,751
75,30,70,264
76,9,411,411
77,9,157,569
78,41,672,54
79,33,476,351
80,42,237,684
81,33,689,131
82,43,237,412
83,44,423,251
84,39,581,989
85,5,335,485
86,35,667,237
87,9,192,629
88,6,357,614
89,3,237,103
90,25,512,629
91,34,488,566
92,7,87,552
93,10,132,874
94,20,79,473
95,43,692,35
96,26,333,660
97,1,126,194
98,15,150,222
99,23,302,112
100,12,652,537
101,7,1,242
102,21,74,981
103,3,97,163
104,21,599,254
105,9,434,782
106,16,339,502
107,48,310,799
108,18,193,602
109,22,519,598
110,27,230,810
111,41,41,687
112,44,209,731
113,19,153,94
114,17,348,998
115,17,471,538
116,34,19,879
117,47,634,640
118,2,423,816
119,23,604,755
120,13,28,535